time,usage,temperature,frequency
15949,2.7,51,2000
15950,0.0,51,2000
15951,1.4,51,2000
15952,1.4,50,2000
15953,0.0,51,2000
15954,1.4,52,2000
15955,0.0,51,2000
15956,1.4,52,2000
15957,1.4,50,2000
15958,1.4,50,2000
15959,2.8,51,2000
15960,0.0,52,2000
15961,0.0,51,2000
15962,1.4,50,2000
15963,0.0,49,2000
15964,0.0,51,2000
15965,0.0,50,2000
15966,1.4,51,2000
15967,1.4,50,2000
15968,1.4,51,2000
15969,2.8,49,2000
15970,0.0,50,2000
15971,1.4,50,2000
15972,2.7,50,2000
15973,0.0,51,2000
15974,1.4,51,2000
15975,1.4,50,2000
15976,0.0,50,2000
15977,1.4,50,2000
15978,1.4,51,2000
15979,1.4,50,2000
15980,0.0,50,2000
15981,1.4,50,2000
15982,1.4,50,2000
15983,1.4,49,2000
15984,0.0,51,2000
15985,0.0,49,2000
15986,1.4,50,2000
15987,1.4,50,2000
15988,1.4,50,2000
15989,1.4,50,2000
15990,1.4,49,2000
15991,0.0,49,2000
15992,0.0,50,2000
15993,1.4,50,2000
15994,1.4,50,2000
15995,1.4,51,2000
15996,1.4,49,2000
15997,0.0,50,2000
15998,0.0,49,2000
15999,1.4,50,2000
16000,0.0,51,2000
16001,1.4,49,2000
16002,0.0,50,2000
16003,1.4,51,2000
16004,1.4,51,2000
16005,1.4,50,2000
16006,1.4,50,2000
16007,1.4,50,2000
16008,1.4,50,2000
16009,0.0,50,2000
16010,0.0,51,2000
16011,1.4,50,2000
16012,0.0,50,2000
16013,0.0,50,2000
16014,1.4,50,2000
16015,2.7,51,2000
16016,1.4,50,2000
16017,1.4,50,2000
16018,1.4,50,2000
16019,1.4,50,2000
16020,1.4,50,2000
16021,2.7,51,2000
16022,1.4,49,2000
16023,1.4,50,2000
16024,0.0,50,2000
16025,2.7,49,2000
16026,0.0,51,2000
16027,0.0,49,2000
16028,1.4,50,2000
16029,1.4,50,2000
16030,1.4,49,2000
16031,0.0,50,2000
16032,1.4,49,2000
16033,1.4,50,2000
16034,1.4,50,2000
16035,0.0,50,2000
16036,0.0,50,2000
16037,0.0,50,2000
16038,1.4,50,2000
16039,0.0,49,2000
16040,1.4,50,2000
16041,0.0,50,2000
16042,0.0,50,2000
16043,1.4,50,2000
16044,0.0,49,2000
16045,1.4,50,2000
16046,1.4,50,2000
16047,2.7,50,2000
16048,1.4,50,2000
16049,0.0,49,2000
16050,1.4,49,2000
16051,0.0,50,2000
16052,1.4,50,2000
16053,1.4,49,2000
16054,0.0,50,2000
16055,0.0,49,2000
16056,0.0,49,2000
16057,0.0,50,2000
16058,1.4,49,2000
16059,2.7,51,2000
16060,1.4,50,2000
16061,1.4,49,2000
16062,1.4,50,2000
16063,0.0,50,2000
16064,2.7,50,2000
16065,1.4,50,2000
16066,0.0,51,2000
16067,1.4,49,2000
16068,1.4,50,2000
16069,1.4,49,2000
16070,1.4,49,2000
16071,1.4,50,2000
16072,0.0,50,2000
16073,1.4,50,2000
16074,0.0,50,2000
16075,1.4,50,2000
16076,1.4,49,2000
16077,0.0,49,2000
16078,1.4,49,2000
16079,1.4,49,2000
16080,1.4,50,2000
16081,2.7,49,2000
16082,0.0,50,2000
16083,1.4,49,2000
16084,1.4,49,2000
16085,1.4,50,2000
16086,1.4,49,2000
16087,1.4,49,2000
16088,0.0,49,2000
16089,0.0,49,2000
16090,0.0,50,2000
16091,0.0,49,2000
16092,1.4,50,2000
16093,0.0,49,2000
16094,1.4,49,2000
16095,1.4,48,2000
16096,1.4,49,2000
16097,2.7,48,2000
16098,0.0,49,2000
16099,1.4,49,2000
16100,1.4,50,2000
16101,1.4,49,2000
16102,0.0,48,2000
16103,1.4,50,2000
16104,0.0,49,2000
16105,1.4,49,2000
16106,1.4,49,2000
16107,0.0,49,2000
16108,2.7,49,2000
16109,0.0,49,2000
16110,0.0,50,2000
16111,1.4,50,2000
16112,1.4,50,2000
16113,1.4,49,2000
16114,1.4,49,2000
16115,1.4,49,2000
16116,0.0,50,2000
16117,0.0,48,2000
16118,1.4,50,2000
16119,1.4,49,2000
16120,1.4,50,2000
16121,0.0,49,2000
16122,0.0,49,2000
16123,1.4,50,2000
16124,1.4,49,2000
16125,1.4,49,2000
16126,1.4,49,2000
16127,1.4,49,2000
16128,1.4,49,2000
16129,1.4,49,2000
16130,1.4,49,2000
16131,2.7,48,2000
16132,0.0,50,2000
16133,1.4,49,2000
16134,1.4,50,2000
16135,0.0,49,2000
16136,0.0,49,2000
16137,1.4,49,2000
16138,0.0,49,2000
16139,0.0,49,2000
16140,0.0,50,2000
16141,0.0,49,2000
16142,1.4,49,2000
16143,1.4,49,2000
16144,1.4,49,2000
16145,0.0,49,2000
16146,0.0,49,2000
16147,0.0,48,2000
16148,2.7,49,2000
16149,1.4,49,2000
16150,1.4,49,2000
16151,0.0,49,2000
16152,1.4,49,2000
16153,0.0,49,2000
16154,2.7,50,2000
16155,1.4,50,2000
16156,1.4,48,2000
16157,1.4,48,2000
16158,1.4,48,2000
16159,1.4,49,2000
16160,1.4,49,2000
16161,1.4,50,2000
16162,0.0,49,2000
16163,0.0,49,2000
16164,1.4,48,2000
16165,0.0,49,2000
16166,1.4,49,2000
16167,1.4,49,2000
16168,0.0,49,2000
16169,1.4,48,2000
16170,1.4,49,2000
16171,1.4,49,2000
16172,1.4,49,2000
16173,0.0,49,2000
16174,1.4,49,2000
16175,0.0,48,2000
16176,0.0,49,2000
16177,1.4,48,2000
16178,1.4,50,2000
16179,0.0,49,2000
16180,0.0,49,2000
16181,1.4,49,2000
16182,0.0,50,2000
16183,0.0,48,2000
16184,0.0,48,2000
16185,0.0,48,2000
16186,1.4,49,2000
16187,1.4,48,2000
16188,0.0,49,2000
16189,0.0,49,2000
16190,0.0,49,2000
16191,1.4,49,2000
16192,1.4,48,2000
16193,1.4,49,2000
16194,0.0,48,2000
16195,2.8,49,2000
16196,0.0,48,2000
16197,2.8,48,2000
16198,1.4,49,2000
16199,2.7,49,2000
16200,0.0,48,2000
16201,0.0,49,2000
16202,1.4,49,2000
16203,0.0,49,2000
16204,1.4,48,2000
16205,1.4,49,2000
16206,0.0,48,2000
16207,2.7,48,2000
16208,1.4,49,2000
16209,0.0,48,2000
16210,2.7,48,2000
16211,1.4,48,2000
16212,0.0,48,2000
16213,0.0,48,2000
16214,1.4,48,2000
16215,1.4,48,2000
16216,1.4,49,2000
16217,1.4,48,2000
16218,2.7,48,2000
16219,1.4,48,2000
16220,1.4,48,2000
16221,2.7,48,2000
16222,0.0,49,2000
16223,0.0,48,2000
16224,0.0,48,2000
16225,0.0,48,2000
16226,0.0,49,2000
16227,0.0,48,2000
16228,1.4,47,2000
16229,1.4,50,2000
16230,1.4,48,2000
16231,1.4,48,2000
16232,0.0,48,2000
16233,0.0,48,2000
16234,1.4,49,2000
16235,0.0,48,2000
16236,1.4,48,2000
16237,0.0,48,2000
16238,2.7,47,2000
16239,1.4,48,2000
16240,1.4,48,2000
16241,1.4,48,2000
16242,1.4,47,2000
16243,1.4,48,2000
16244,1.4,49,2000
16245,1.4,49,2000
16246,0.0,48,2000
16247,0.0,48,2000
16248,0.0,48,2000
16249,0.0,47,2000
16250,1.4,47,2000
16251,0.0,48,2000
16252,1.4,49,2000
16253,1.4,48,2000
16254,1.4,48,2000
16255,2.7,47,2000
16256,0.0,49,2000
16257,0.0,49,2000
16258,1.4,48,2000
16259,0.0,48,2000
16260,1.4,48,2000
16261,1.4,48,2000
16262,0.0,48,2000
16263,0.0,47,2000
16264,0.0,48,2000
16265,0.0,48,2000
16266,0.0,48,2000
16267,0.0,48,2000
16268,1.4,48,2000
16269,2.7,48,2000
16270,1.4,48,2000
16271,1.4,49,2000
16272,1.4,48,2000
16273,0.0,48,2000
16274,0.0,49,2000
16275,1.4,48,2000
16276,2.7,49,2000
16277,0.0,48,2000
16278,1.4,49,2000
16279,1.4,48,2000
16280,0.0,47,2000
16281,0.0,48,2000
16282,0.0,48,2000
16283,0.0,48,2000
16284,1.4,48,2000
16285,1.4,48,2000
16286,1.4,48,2000
16287,1.4,48,2000
16288,2.8,48,2000
16289,0.0,48,2000
16290,0.0,48,2000
16291,0.0,49,2000
16292,1.4,48,2000
16293,2.7,48,2000
16294,0.0,48,2000
16295,0.0,48,2000
16296,2.7,47,2000
16297,0.0,47,2000
16298,1.4,48,2000
16299,2.7,48,2000
16300,1.4,48,2000
16301,0.0,48,2000
16302,0.0,48,2000
16303,0.0,48,2000
16304,0.0,48,2000
16305,1.4,48,2000
16306,0.0,49,2000
16307,1.4,48,2000
16308,1.4,48,2000
16309,1.4,48,2000
16310,0.0,47,2000
16311,0.0,48,2000
16312,1.4,47,2000
16313,1.4,48,2000
16314,1.4,48,2000
16315,1.4,48,2000
16316,2.8,48,2000
16317,1.4,48,2000
16318,1.4,48,2000
16319,0.0,48,2000
16320,1.4,47,2000
16321,0.0,47,2000
16322,1.4,48,2000
16323,1.3,47,2000
16324,0.0,48,2000
16325,1.4,48,2000
16326,1.4,48,2000
16327,1.4,48,2000
16328,0.0,47,2000
16329,1.4,48,2000
16330,0.0,47,2000
16331,0.0,47,2000
16332,2.7,48,2000
16333,0.0,48,2000
16334,0.0,47,2000
16335,1.4,47,2000
16336,1.4,49,2000
16337,1.4,48,2000
16338,1.4,47,2000
16339,2.7,47,2000
16340,0.0,48,2000
16341,0.0,49,2000
16342,0.0,48,2000
16343,0.0,48,2000
16344,1.4,48,2000
16345,5.7,48,2000
16346,2.7,47,2000
16347,0.0,47,2000
16348,0.0,47,2000
16349,1.4,47,2000
16350,1.4,47,2000
16351,1.4,47,2000
16352,1.4,47,2000
16353,1.4,47,2000
16354,1.4,47,2000
16355,2.7,48,2000
16356,1.4,48,2000
16357,1.4,48,2000
16358,0.0,48,2000
16359,0.0,48,2000
16360,1.4,47,2000
16361,0.0,48,2000
16362,1.4,47,2000
16363,1.4,47,2000
16364,0.0,48,2000
16365,1.4,47,2000
16366,0.0,47,2000
16367,0.0,48,2000
16368,1.4,47,2000
16369,0.0,47,2000
16370,1.4,47,2000
16371,1.4,48,2000
16372,0.0,48,2000
16373,0.0,47,2000
16374,0.0,48,2000
16375,1.4,47,2000
16376,0.0,48,2000
16377,1.4,47,2000
16378,0.0,47,2000
16379,1.4,47,2000
16380,0.0,48,2000
16381,0.0,47,2000
16382,1.4,48,2000
16383,2.7,48,2000
16384,1.4,47,2000
16385,2.8,49,2000
16386,1.4,47,2000
16387,1.4,47,2000
16388,0.0,48,2000
16389,1.4,48,2000
16390,1.4,47,2000
16391,1.4,48,2000
16392,1.4,47,2000
16393,1.4,48,2000
16394,1.4,47,2000
16395,1.4,47,2000
16396,1.4,48,2000
16397,1.4,46,2000
16398,0.0,48,2000
16399,2.8,48,2000
16400,0.0,47,2000
16401,0.0,47,2000
16402,0.0,47,2000
16403,1.4,47,2000
16404,1.4,47,2000
16405,1.4,47,2000
16406,0.0,48,2000
16407,1.4,47,2000
16408,0.0,48,2000
16409,1.4,46,2000
16410,1.4,47,2000
16411,0.0,48,2000
16412,1.4,48,2000
16413,1.4,48,2000
16414,1.4,47,2000
16415,0.0,47,2000
16416,2.7,47,2000
16417,0.0,48,2000
16418,1.4,48,2000
16419,1.4,47,2000
16420,1.4,47,2000
16421,1.4,47,2000
16422,1.4,47,2000
16423,1.4,48,2000
16424,2.7,47,2000
16425,1.4,47,2000
16426,1.4,48,2000
16427,0.0,47,2000
16428,1.4,47,2000
16429,0.0,46,2000
16430,1.4,48,2000
16431,1.4,47,2000
16432,1.4,47,2000
16433,0.0,47,2000
16434,1.4,47,2000
16435,1.4,47,2000
16436,1.4,47,2000
16437,0.0,47,2000
16438,0.0,47,2000
16439,1.4,48,2000
16440,0.0,47,2000
16441,1.4,46,2000
16442,1.4,47,2000
16443,2.7,47,2000
16444,0.0,47,2000
16445,0.0,48,2000
16446,0.0,47,2000
16447,0.0,47,2000
16448,0.0,46,2000
16449,0.0,47,2000
16450,1.4,48,2000
16451,1.4,47,2000
16452,0.0,48,2000
16453,7.0,47,2000
16454,0.0,48,2000
16455,1.4,47,2000
16456,1.4,47,2000
16457,1.4,47,2000
16458,0.0,47,2000
16459,1.4,48,2000
16460,1.4,48,2000
16461,0.0,48,2000
16462,1.4,46,2000
16463,1.4,47,2000
16464,0.0,46,2000
16465,0.0,47,2000
16466,1.4,47,2000
16467,1.4,47,2000
16468,1.4,47,2000
16469,1.4,47,2000
16470,2.7,47,2000
16471,1.4,46,2000
16472,1.4,47,2000
16473,1.4,47,2000
16474,1.4,47,2000
16475,1.4,47,2000
16476,0.0,47,2000
16477,1.4,48,2000
16478,0.0,47,2000
16479,0.0,47,2000
16480,0.0,46,2000
16481,1.4,47,2000
16482,1.4,46,2000
16483,1.4,48,2000
16484,2.7,47,2000
16485,1.4,48,2000
16486,1.4,47,2000
16487,1.4,47,2000
16488,1.4,48,2000
16489,0.0,47,2000
16490,0.0,48,2000
16491,1.4,48,2000
16492,1.4,48,2000
16493,0.0,47,2000
16494,1.4,47,2000
16495,1.4,46,2000
16496,1.4,47,2000
16497,0.0,46,2000
16498,1.4,47,2000
16499,0.0,47,2000
16500,1.4,47,2000
16501,0.0,47,2000
16502,1.4,47,2000
16503,0.0,47,2000
16504,1.4,46,2000
16505,1.4,46,2000
16506,0.0,47,2000
16507,1.4,46,2000
16508,0.0,48,2000
16509,1.4,47,2000
16510,1.4,47,2000
16511,1.4,47,2000
16512,0.0,48,2000
16513,0.0,48,2000
16514,0.0,47,2000
16515,0.0,48,2000
16516,1.4,47,2000
16517,0.0,46,2000
16518,0.0,48,2000
16519,2.7,47,2000
16520,0.0,47,2000
16521,2.7,46,2000
16522,0.0,47,2000
16523,0.0,47,2000
